id,name,address,date,status,link
1,"LIXIN ENGINEERING CONTRACTOR","Coleman Street, 179803",2008-09-12,Registered,https://opencorpdata.com/sg/53028911C
2,"FBS ENGINEERING & SERVICES PTE. LTD.","Tannery Lane, 347805",2016-04-21,Registered,https://opencorpdata.com/sg/201610728W
3,"SLE POWER ENGINEERING PRIVATE LIMITED","Kaki Bukit Road 1, 415934",2008-09-13,Registered,https://opencorpdata.com/sg/200809276W
4,"RK DESIGN & ENGINEERING PTE. LTD.","Mayo Street, 208305",2011-03-11,Registered,https://opencorpdata.com/sg/201105874W
5,"JACK HUAT ENGINEERING & CONSTRUCTION PTE LTD","Tagore Industrial Avenue, 787805",2008-09-10,Registered,https://opencorpdata.com/sg/198802773D
6,"COH ENGINEERING PTE. LTD.","Tannery Lane, 347805",2015-09-30,Registered,https://opencorpdata.com/sg/201535974C
7,"MIP ENGINEERING PTE. LTD.","Ang Mo Kio Avenue 10, 560438",2017-03-01,Registered,https://opencorpdata.com/sg/201705680Z
8,"ROS ENGINEERING PTE. LTD.","Tuas South Avenue 8, 637037",2012-03-08,Registered,https://opencorpdata.com/sg/201205708C
9,"KAI LUN ENGINEERING PTE. LTD.","Kaki Bukit Place, 415979",2010-05-25,Registered,https://opencorpdata.com/sg/201011032W
10,"ABSPRUNG ENGINEERING SYSTEMS PTE. LTD.","Yishun Industrial Street 1, 768089",2016-09-28,Registered,https://opencorpdata.com/sg/201626436C
11,"SIN SENG HUP CONSTRUCTION & ENGINEERING","Ang Mo Kio Avenue 1, 560342",2008-09-11,Registered,https://opencorpdata.com/sg/52910686L
12,"ADVANCE TECH ELECTRICAL ENGINEERING","Compassvale Lane, 542207",2017-06-16,Registered,https://opencorpdata.com/sg/53364878E
13,"MJM ENGINEERING PTE. LTD.","Woodlands Avenue 1, 730341",2015-10-16,Registered,https://opencorpdata.com/sg/201537856R
14,"SRS CIVIL ENGINEERING (S) PTE. LTD.","Kaki Bukit Road 4, 417800",2009-03-25,Registered,https://opencorpdata.com/sg/200905211E
15,"WCUBE ENGINEERING CONSTRUCTION","Chin Swee Road, 169874",2016-03-31,Registered,https://opencorpdata.com/sg/53333077K
16,"BUILDAMPS ENGINEERING SERVICES PTE LTD","Ang Mo Kio Street 62, 569139",2008-09-12,Registered,https://opencorpdata.com/sg/200002679E
17,"SG ENGINEERS PTE. LTD.","Kranji Link, 728643",2017-10-17,Registered,https://opencorpdata.com/sg/201729771N
18,"COOLEXPRESS ENGINEERING PTE. LTD.","Tuas South Avenue 2, 637195",2008-09-13,Registered,https://opencorpdata.com/sg/200707013D
19,"FJS ENGINEERING (SIN) PTE. LTD.","Middle Road, 188979",2016-04-20,Registered,https://opencorpdata.com/sg/201610559W
20,"XUN JIE ENGINEERING PTE. LTD.","Lorong 15 Geylang, 388604",2014-11-07,Registered,https://opencorpdata.com/sg/201432692H
21,"BS OFFSHORE MARINE HVAC ENGINEERING PTE. LTD.","North Bridge Road, 179098",2009-06-25,Registered,https://opencorpdata.com/sg/200911402E
22,"HITECHCOM ENGINEERING PTE. LTD.","Middle Road, 188979",2008-09-13,Registered,https://opencorpdata.com/sg/200700412R
23,"GRAND PACIFIC ENGINEERING (PTE) LTD","Jalan Lembah Kallang, 339568",2008-09-10,Registered,https://opencorpdata.com/sg/199501925H
24,"JACOBS ENGINEERING SINGAPORE PTE LTD","Raffles Place, 048623",2008-09-11,Registered,https://opencorpdata.com/sg/199803266M
25,"GREATRISE ELECTRICAL ENGINEERING CONTRACTORS","Kallang Avenue, 339407",2008-09-10,Registered,https://opencorpdata.com/sg/47712400C
26,"RICJAC ENGINEERING","Geylang Road, 389685",2017-09-21,Registered,https://opencorpdata.com/sg/53370705J
27,"UNITED UTILITY ENGINEERING PTE. LTD.","Tagore Lane, 787589",2013-03-19,Registered,https://opencorpdata.com/sg/201307124M
28,"TECHWELL ENGINEERING PTE LTD","East Coast Road, 428766",2008-09-10,Registered,https://opencorpdata.com/sg/199403144R
29,"LEY CHOON CONSTRUCTIONS AND ENGINEERING PTE LTD","Sungei Kadut Drive, 729556",2008-09-10,Registered,https://opencorpdata.com/sg/199004441H
30,"BLISS-AIRE ENGINEERING SERVICE","Robinson Road, 048545",2015-01-27,Registered,https://opencorpdata.com/sg/53288774C
