id,name,address,date,status,link
3990,SINGAPORE POLYTECHNIC CO-OPERATIVE LTD,"Dover Road, 139651",8/22/2008,Registered,https://opencorpdata.com/sg/S60CS0138J
5258,NGEE ANN POLYTECHNIC ACADEMIC STAFF UNION,"Clementi Road, 599489",8/22/2008,Registered,https://opencorpdata.com/sg/S80TU0497K
7919,NGEE ANN POLYTECHNIC CONSUMER CO-OPERATIVE SOCIETY LTD,"Clementi Road Blk 8, 599489",8/22/2008,Registered,https://opencorpdata.com/sg/S71CS0164D
9987,TEMASEK POLYTECHNIC CO-OP SOC LTD,"Tampines Avenue 1, 529757",8/22/2008,Registered,https://opencorpdata.com/sg/S94CS0212K
1265,Nanyang Polytechnic,"Ang Mo Kio Ave 8, 569830",8/26/2008,Registered,https://opencorpdata.com/sg/T08GB0032G
4812,Singapore Polytechnic,"Dover Road, 139651",8/26/2008,Registered,https://opencorpdata.com/sg/T08GB0056A
4893,Institute of Technical Education,"Ang Mo Kio Drive, 567720",8/26/2008,Registered,https://opencorpdata.com/sg/T08GB0022B
7971,Republic Polytechnic,"Woodlands Avenue 9, 738964",8/26/2008,Registered,https://opencorpdata.com/sg/T08GB0046G
9798,Ngee Ann Polytechnic,"Clementi Rd, 599489",8/26/2008,Registered,https://opencorpdata.com/sg/T08GB0039A
10671,Temasek Polytechnic,"Tampines Avenue 1, 529757",8/26/2008,Registered,https://opencorpdata.com/sg/T08GB0062L
14290,"Agency for Science, Technology and Research","Fusionopolis Way, 138632",8/26/2008,Registered,https://opencorpdata.com/sg/T08GB0002C
15329,Defence Science and Technology Agency,"Science Park Drive, 118253",8/26/2008,Registered,https://opencorpdata.com/sg/T08GB0011A
18,Nanyang Technological University Alumni Club,"Slim Barracks Rise, 138664",8/28/2008,Registered,https://opencorpdata.com/sg/S86SS0040A
62,"Communication Studies Alumni Association, Nanyang Technological University","Nanyang Avenue, 639798",8/28/2008,Registered,https://opencorpdata.com/sg/S97SS0077G
183,"Singapore Institute of Engineering Technologists, The","Duxton Road, 089527",8/28/2008,Registered,https://opencorpdata.com/sg/S80SS0096E
342,Nanyang Technological University French Society,"Nanyang Avenue, 639815",8/28/2008,Registered,https://opencorpdata.com/sg/T04SS0216B
488,Nanyang Technological University Anglers' Club,"Nanyang Ave, 639815",8/28/2008,Registered,https://opencorpdata.com/sg/S90SS0065H
571,"Earthlink, Nanyang Technological University","Nanyang Avenue, 639798",8/28/2008,Registered,https://opencorpdata.com/sg/S92SS0072B
592,Nanyang Technological University Sport Shooting Club,"Nanyang Green, 637715",8/28/2008,Registered,https://opencorpdata.com/sg/S85SS0024C
662,Singapore Polytechnic Industrial Management Alumni Association,"Dover Road, 139651",8/28/2008,Registered,https://opencorpdata.com/sg/S84SS0014D
681,"Polytechnic Christian Fellowship, Singapore","Dover Road, 139651",8/28/2008,Registered,https://opencorpdata.com/sg/S64SS0036L
691,Singapore Society for Microbiology and Biotechnology,"Science Drive 2, 117597",8/28/2008,Registered,https://opencorpdata.com/sg/S72SS0028B
753,Nanyang Technological University Malay Language And Cultural Society,"Nanyang Walk, 637616",8/28/2008,Registered,https://opencorpdata.com/sg/S92SS0078L
799,Nanyang Technological University Aerospace Society,"Nanyang Avenue, 639815",8/28/2008,Registered,https://opencorpdata.com/sg/T07SS0013C
1056,Nanyang Technological University Symphonic Band Alumni,"Nanyang Avenue Nanyang Technolog, 639798",8/28/2008,Registered,https://opencorpdata.com/sg/S98SS0127L
1113,Technopreneurship and Innovation Program Association,"Nanyang Drive, 637553",8/28/2008,Registered,https://opencorpdata.com/sg/T03SS0183J
1427,Ngee Ann Polytechnic Buddhist Society,"Clementi Road, 599489",8/28/2008,Registered,https://opencorpdata.com/sg/S81SS0059L
1638,Nanyang Technological University Outdoor Adventure Club,"Nanyang Avenue, 639815",8/28/2008,Registered,https://opencorpdata.com/sg/S96SS0006D
1651,Nanyang Technological University School of Civil & Environmental Engineering Alumni Association,"Nanyang Avenue, 639798",8/28/2008,Registered,https://opencorpdata.com/sg/S97SS0142C
1802,Institution of Engineering and Technology - Nanyang Technological University Student Section,"Nanyang Ave, 639815",8/28/2008,Registered,https://opencorpdata.com/sg/T03SS0205G
1915,Nanyang Technological University Investment Interactive Club,"Nanyang Avenue, 639798",8/28/2008,Registered,https://opencorpdata.com/sg/S99SS0080F
2292,Singapore Polytechnic Goju-Kai Karate Club,"Dover Road, 139651",8/28/2008,Registered,https://opencorpdata.com/sg/S84SS0030H
2324,Singapore Polytechnic Buddhist Society,"Dover Road, 139651",8/28/2008,Registered,https://opencorpdata.com/sg/S66SS0033L
2448,Nanyang Technological University Muslim Society,"Nanyang Avenue C/o Students Affa, 639798",8/28/2008,Registered,https://opencorpdata.com/sg/S87SS0053K
2460,Singapore High Technology Association,"Coleman Street, 179803",8/28/2008,Registered,https://opencorpdata.com/sg/T06SS0272C
2593,Legion of Mary (Nanyang Polytechnic),"Ang Mo Kio Avenue 8, 569830",8/28/2008,Registered,https://opencorpdata.com/sg/S97SS0024E
2735,Singapore Polytechnic Graduates' Guild,,8/28/2008,Registered,https://opencorpdata.com/sg/S71SS0002L
2805,Hong Kong Polytechnic University Association (Singapore),,8/28/2008,Registered,https://opencorpdata.com/sg/T06SS0013J
2831,"Massachussetts Institute Of Technology Club Of Singapore (MIT Club Of Singapore), The",,8/28/2008,Registered,https://opencorpdata.com/sg/S83SS0057G
3014,"Navigators, Nanyang Technological University The","Nanyang Avenue Nanyang Technolog, 639798",8/28/2008,Registered,https://opencorpdata.com/sg/S85SS0005L
3059,Nanyang Polytechnic Graduates' Association,"Ang Mo Kio Avenue 8, 569830",8/28/2008,Registered,https://opencorpdata.com/sg/S96SS0135C
3165,Ngee Ann Polytechnic Toastmasters' Club,"Clementi Road, 599489",8/28/2008,Registered,https://opencorpdata.com/sg/S93SS0011C
3258,Nanyang Technological University School of Elect- rical & Electronic Engineering Alumni Associat,"Nanyang Avenue, 639798",8/28/2008,Registered,https://opencorpdata.com/sg/S96SS0192A
3381,United Nations Students Association (Nanyang Technological University),"Nanyang Avenue, 639798",8/28/2008,Registered,https://opencorpdata.com/sg/S91SS0075G
3384,Nanyang Technological University Deli Aprecio Club,"Nanyang Ave, 639815",8/28/2008,Registered,https://opencorpdata.com/sg/T03SS0214E
3411,Nanyang Technological University Computer Society,"Nanyang Avenue, 639798",8/28/2008,Registered,https://opencorpdata.com/sg/S88SS0071L
3419,ASEAN Academy of Engineering and Technology,"Bukit Tinggi Road, 289758",8/28/2008,Registered,https://opencorpdata.com/sg/T07SS0113E
3488,Temasek Polytechnic Staff Association,,8/28/2008,Registered,https://opencorpdata.com/sg/S91SS0086H
3558,Centre for LAB Environmental and Technical Studies for Asia,"Collyer Quay, 049315",8/28/2008,Registered,https://opencorpdata.com/sg/T00SS0055B
4235,Ngee Ann Polytechnic Indian Cultural Society,"Clementi Road, 599489",8/28/2008,Registered,https://opencorpdata.com/sg/S83SS0067A
4282,Tamils Information Technology Society (Singapore),"Sophia Road, 228149",8/28/2008,Registered,https://opencorpdata.com/sg/S56SS0004L
4457,Nanyang Technological University Leisure And Hobby Club,"Nanyang Avenue, 639798",8/28/2008,Registered,https://opencorpdata.com/sg/S92SS0068F
4724,Ngee Ann Polytechnic Catholic Youth Apostolate,"Clementi Road, 599489",8/28/2008,Registered,https://opencorpdata.com/sg/S93SS0081E
5125,Institute of Technical Education Alumni Association,,8/28/2008,Registered,https://opencorpdata.com/sg/S97SS0043H
5306,Singapore Polytechnic Wushu and Lion Dance Club,"Dover Road, 139651",8/28/2008,Registered,https://opencorpdata.com/sg/S93SS0034A
5559,Nanyang Technological University Chinese Society Alumni,,8/28/2008,Registered,https://opencorpdata.com/sg/S96SS0062F
5877,Visual Arts Society of the Nanyang Technological University,"Nanyang Avenue Nanyang Technolog, 639798",8/28/2008,Registered,https://opencorpdata.com/sg/S86SS0067E
6354,"Nanyang Technological University, Hall of Residence Eight Alumni Association","Nanyang Avenue, 639798",8/28/2008,Registered,https://opencorpdata.com/sg/S97SS0083F
6385,Society of Bioscience and Technology,"Tras Street, 078997",8/28/2008,Registered,https://opencorpdata.com/sg/T04SS0265J
6491,Nanyang Technological University Christian Fellowship (NTU-CF),,8/28/2008,Registered,https://opencorpdata.com/sg/S83SS0026G
6762,International Protective Technology Association,"Jalan Kilang Barat, 159361",8/28/2008,Registered,https://opencorpdata.com/sg/T08SS0049K
6855,Singapore Space and Technology Association,,8/28/2008,Registered,https://opencorpdata.com/sg/T07SS0060G
6922,Campus Crusade for Christ of the Ngee Ann Polytechnic,,8/28/2008,Registered,https://opencorpdata.com/sg/S82SS0018L
7056,Nanyang Technological University Motoring Club,"Nanyang Avenue, 639815",8/28/2008,Registered,https://opencorpdata.com/sg/T07SS0275G
7430,"Navigators, Singapore Polytechnic, The","Dover Road Singapore Polytechnic, 139651",8/28/2008,Registered,https://opencorpdata.com/sg/S76SS0010E
8187,Nanyang Polytechnic Staff Association,,8/28/2008,Registered,https://opencorpdata.com/sg/S97SS0002C
8240,"Navigators, Ngee Ann Polytechnic","Clementi Road, 599489",8/28/2008,Registered,https://opencorpdata.com/sg/S81SS0062L
8529,Temasek Polytechnic Graduates' Association,"Tampines Ave 1, 529757",8/28/2008,Registered,https://opencorpdata.com/sg/S94SS0106G
8802,University of Science & Technology of China Alumni Association (Singapore),"Anson Road, 079903",8/28/2008,Registered,https://opencorpdata.com/sg/T05SS0170D
8941,Dunearn Tech-Greenridge Alumni Association,"Bukit Panjang Ring Road, 679938",8/28/2008,Registered,https://opencorpdata.com/sg/T05SS0026H
9017,Nanyang Technological University Korean Cultural Society,"Nanyang Avenue, 639815",8/28/2008,Registered,https://opencorpdata.com/sg/T06SS0100G
9218,Queensland University of Technology Alumni (Singapore Chapter),"Serangoon North Avenue 4, 550500",8/28/2008,Registered,https://opencorpdata.com/sg/S96SS0017E
9307,SGTech,,8/28/2008,Registered,https://opencorpdata.com/sg/S82SS0054C
9539,Nanyang Technological University School of Materials Science and Engineering Alumni Association,"Nanyang Avenue, 639798",8/28/2008,Registered,https://opencorpdata.com/sg/T02SS0221F
9720,Nanyang Technological University Motoring Club Alumni,"Nanyang View, 639673",8/28/2008,Registered,https://opencorpdata.com/sg/T06SS0128G
9838,Singapore Institute of Food Science & Technology (SIFST),"Toa Payoh Central, 319194",8/28/2008,Registered,https://opencorpdata.com/sg/S77SS0002H
9886,Nanyang Technological University German Society,"Nanyang Avenue, 639798",8/28/2008,Registered,https://opencorpdata.com/sg/S97SS0025A
9960,Nanyang Technological University Buddhist Society,"Nanyang Avenue Nanyang Technolog, 639798",8/28/2008,Registered,https://opencorpdata.com/sg/S83SS0056L
10023,Technical Theatre Association of Singapore,"Waterloo Street, 187962",8/28/2008,Registered,https://opencorpdata.com/sg/T04SS0107B
10116,Association for Computing Machinery-Nanyang Technological University Student Chapter,"Nanyang Avenue, 639815",8/28/2008,Registered,https://opencorpdata.com/sg/T03SS0242F
10170,Ngee Ann Polytechnic Christian Fellowship,"Clementi Road, 599489",8/28/2008,Registered,https://opencorpdata.com/sg/S81SS0071J
10325,Singapore Precision Engineering and Technology Association,,8/28/2008,Registered,https://opencorpdata.com/sg/S83SS0018E
10592,Nanyang Polytechnic Buddhist Society,"Ang Mo Kio Avenue 8 C/o Student, 569830",8/28/2008,Registered,https://opencorpdata.com/sg/S94SS0055A
10637,Nanyang Technological University Spanish Society,"Nanyang Avenue, 639815",8/28/2008,Registered,https://opencorpdata.com/sg/T05SS0199L
10699,Design & Technology Educators Society,"North Buona Vista Drive, 138675",8/28/2008,Registered,https://opencorpdata.com/sg/S64SS0033A
10744,"Photo-Videographic Society of the Nanyang Technological University, The","Nanyang Avenue, 639798",8/28/2008,Registered,https://opencorpdata.com/sg/S83SS0055D
10850,Singapore Polytechnic Entrepreneurs' Club,"Dover Road, 139651",8/28/2008,Registered,https://opencorpdata.com/sg/S93SS0126A
10875,Propoor InfoTech Centre,"Prince Edward Road, 079212",8/28/2008,Registered,https://opencorpdata.com/sg/S99SS0033B
10973,Nanyang Technological University Chinese Society (NTUCS),"Nanyang Avenue, 639798",8/28/2008,Registered,https://opencorpdata.com/sg/S84SS0054B
11117,Nanyang Technological University Catholic Students' Apostolate,"Nanyang Avenue, 639798",8/28/2008,Registered,https://opencorpdata.com/sg/S84SS0078G
11308,Nanyang Polytechnic Campus Crusade for Christ,"Ang Mo Kio Avenue 8 Nanyang Poly, 569830",8/28/2008,Registered,https://opencorpdata.com/sg/S96SS0010L
11346,Muslim Students Society Ngee Ann Polytechnic,"Clementi Road, 599489",8/28/2008,Registered,https://opencorpdata.com/sg/S80SS0240H
11381,Hospitality Financial and Technology Professionals - Asia Chapter,"Orchard Spring Lane, 247729",8/28/2008,Registered,https://opencorpdata.com/sg/T07SS0014K
