id,name,address,date,status,link
13639,SIA ENGINEERING COMPANY ENGINEERS AND EXECUTIVES UNION,"Airline Road, 819829",8/22/2008,Registered,https://opencorpdata.com/sg/S93TU0532J
22262,SHIPBUILDING AND MARINE ENGINEERING EMPLOYEES' UNION,"Changi Road, 419718",8/22/2008,Registered,https://opencorpdata.com/sg/S81TU0499G
3382,PROFESSIONAL ENGINEERS BOARD,"Jurong Gateway Road, 608550",8/26/2008,Registered,https://opencorpdata.com/sg/T08GB0043H
23271,"Agency for Science, Technology and Research","Fusionopolis Way, 138632",8/26/2008,Registered,https://opencorpdata.com/sg/T08GB0002C
24098,Defence Science and Technology Agency,"Science Park Drive, 118253",8/26/2008,Registered,https://opencorpdata.com/sg/T08GB0011A
131,"Singapore Institute of Engineering Technologists, The","Duxton Road, 089527",8/28/2008,Registered,https://opencorpdata.com/sg/S80SS0096E
455,Institution of Chemical Engineers in Singapore,"Leng Kee Road, 159088",8/28/2008,Registered,https://opencorpdata.com/sg/S95SS0073B
499,Singapore Society for Microbiology and Biotechnology,"Science Drive 2, 117597",8/28/2008,Registered,https://opencorpdata.com/sg/S72SS0028B
1094,Engineers' Mess Society,"Transit Road, 778908",8/28/2008,Registered,https://opencorpdata.com/sg/T05SS0264G
1916,Institution of Railway Signal Engineers (Singaporean Section),"Sengkang East Avenue, 545051",8/28/2008,Registered,https://opencorpdata.com/sg/T05SS0214D
2068,Institute of Explosives Engineers (Singapore),"Ubi Crescent, 408570",8/28/2008,Registered,https://opencorpdata.com/sg/T02SS0236B
2190,Pavement Engineering Society (Singapore),"Sungei Kadut St 1, 729333",8/28/2008,Registered,https://opencorpdata.com/sg/S94SS0072A
2484,Nanyang Technological University School of Elect- rical & Electronic Engineering Alumni Associat,"Nanyang Avenue, 639798",8/28/2008,Registered,https://opencorpdata.com/sg/S96SS0192A
2594,Association for Financial Engineering (Singapore),"Science Drive 2, 117546",8/28/2008,Registered,https://opencorpdata.com/sg/S99SS0087L
3003,Institution of Mechanical Engineers (Singapore Branch),"Nanyang Avenue School of Mechani, 639798",8/28/2008,Registered,https://opencorpdata.com/sg/S95SS0054K
4388,"Institution of Fire Engineers (U.K.), Singapore Branch, The","Ang Mo Kio Industrial Park 2, 569510",8/28/2008,Registered,https://opencorpdata.com/sg/S75SS0037D
4580,The Joint Branch of the Royal Institution of Naval Architects & the Institute of Marine Engineer,"Tuas Avenue 10, 639150",8/28/2008,Registered,https://opencorpdata.com/sg/T02SS0003F
6788,Audio Engineering Society Singapore Section,"Henderson Road, 159549",8/28/2008,Registered,https://opencorpdata.com/sg/S95SS0109L
7216,Engineers Australia Singapore Chapter,"Anson Road, 079903",8/28/2008,Registered,https://opencorpdata.com/sg/S93SS0127H
7821,"National University of Singapore Institution of Engineers, Singapore Student Branch, The","Kent Ridge Crescent, 119260",8/28/2008,Registered,https://opencorpdata.com/sg/S94SS0065F
